Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
22128320,000000F6,false,Rx,0,8,86,00,00,00,00,08,63,20,
22129673,000000B6,false,Rx,0,8,00,00,00,00,00,FF,00,A0,
22130263,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22131117,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22132142,00000228,false,Rx,0,8,80,00,80,80,00,00,00,00,
22133194,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22134042,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22135065,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22136079,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22137090,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22137915,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22138928,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22139940,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22140763,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22141781,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22142794,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22143615,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22144649,000000B6,false,Rx,0,8,00,00,00,00,00,FF,00,A0,
22145474,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22146489,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22147502,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22148515,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22150078,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22150472,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22151302,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22152323,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22153377,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22154223,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22155251,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22156271,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22157095,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22158119,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22159146,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22159972,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22160992,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22161826,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22162873,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22163902,000000B6,false,Rx,0,8,00,00,00,00,00,FF,00,A0,
22164938,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22165782,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22166803,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22167632,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22168655,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22170022,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22170586,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22171422,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22172446,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22173463,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22174281,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22175290,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22176303,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22177321,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22178331,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22179149,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22180162,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22180978,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22181996,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22183009,000000B6,false,Rx,0,8,00,00,00,00,00,FF,00,A0,
22184022,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22184840,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22185860,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22186872,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22187886,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22188705,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22190087,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22190617,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22191643,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22192680,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22193534,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22194559,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22195580,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22196420,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22197467,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22198293,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22199327,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22200162,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22201191,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22202209,000000B6,false,Rx,0,8,00,00,00,00,00,FF,00,A0,
22203034,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22204065,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22205117,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22205976,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22207040,000000B6,false,Rx,0,8,00,00,00,00,00,FF,00,A0,
22207869,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22208899,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22210072,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22210859,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22211874,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22212695,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22213713,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22214724,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22215546,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22216554,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22217576,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22218587,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22219409,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22220422,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22221439,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22222259,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22223273,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22224285,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22225301,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22226116,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22227131,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22228145,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22228963,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22230155,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22231081,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22231883,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
